cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
cluster_1,GO:0015238,GO:0015238,12/1234,76/24738,0.15789473684210525,3.1653160453808753,4.331857370144717,3.6233144686944387e-4,0.005816373226062126,0.005098736149852562,Phvul.001G108200.2/Phvul.002G150200.1/Phvul.002G154600.1/Phvul.003G212600.1/Phvul.004G085700.1/Phvul.004G110000.1/Phvul.004G152100.1/Phvul.004G152400.2/Phvul.005G021900.1/Phvul.007G073400.1/Phvul.008G009000.1/Phvul.009G034200.1,12
cluster_1,GO:0015297,antiporter activity,12/1234,76/24738,0.15789473684210525,3.1653160453808753,4.331857370144717,3.6233144686944387e-4,0.005816373226062126,0.005098736149852562,Phvul.001G108200.2/Phvul.002G150200.1/Phvul.002G154600.1/Phvul.003G212600.1/Phvul.004G085700.1/Phvul.004G110000.1/Phvul.004G152100.1/Phvul.004G152400.2/Phvul.005G021900.1/Phvul.007G073400.1/Phvul.008G009000.1/Phvul.009G034200.1,12
cluster_1,GO:0030001,metal ion transport,18/1234,153/24738,0.11764705882352941,2.3584707789112405,3.8620786634305113,6.386096459478079e-4,0.00973879710070407,0.008537202635302275,Phvul.001G205300.1/Phvul.002G099700.1/Phvul.002G100001.1/Phvul.002G262500.1/Phvul.003G022400.1/Phvul.003G104900.1/Phvul.004G001200.1/Phvul.004G116300.1/Phvul.005G048900.1/Phvul.006G070200.1/Phvul.006G139700.1/Phvul.007G075100.1/Phvul.008G189300.1/Phvul.008G275900.1/Phvul.009G027600.1/Phvul.009G240000.1/Phvul.010G059200.1/Phvul.011G035900.1,18
cluster_1,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",11/1234,79/24738,0.13924050632911392,2.791354656053177,3.6539920436670394,0.0018244116035819986,0.026497406623452836,0.023228097609515174,Phvul.002G199300.1/Phvul.002G199700.1/Phvul.002G200600.1/Phvul.005G004600.1/Phvul.006G125800.1/Phvul.008G209900.1/Phvul.009G060200.1/Phvul.009G081800.2/Phvul.009G231700.1/Phvul.010G118400.2/Phvul.011G014000.1,11
cluster_1,GO:0008171,O-methyltransferase activity,9/1234,57/24738,0.15789473684210525,3.1653160453808753,3.750054255289554,0.0019232338562100249,0.02666301482472989,0.023373272702265375,Phvul.001G268700.1/Phvul.003G006100.1/Phvul.006G180900.1/Phvul.008G032600.2/Phvul.009G258800.1/Phvul.011G118100.1/Phvul.011G119715.1/Phvul.011G122100.1/Phvul.011G122200.2,9
cluster_1,GO:0005385,zinc ion transmembrane transporter activity,4/1234,13/24738,0.3076923076923077,6.168308190998629,4.270828520974297,0.0030657956489045374,0.03596414126599553,0.03152680545837055,Phvul.002G099700.1/Phvul.002G100001.1/Phvul.005G048900.1/Phvul.006G070200.1,4
cluster_1,GO:0009690,cytokinin metabolic process,4/1234,13/24738,0.3076923076923077,6.168308190998629,4.270828520974297,0.0030657956489045374,0.03596414126599553,0.03152680545837055,Phvul.009G060200.1/Phvul.009G081800.2/Phvul.009G231700.1/Phvul.011G014000.1,4
cluster_1,GO:0019139,cytokinin dehydrogenase activity,4/1234,13/24738,0.3076923076923077,6.168308190998629,4.270828520974297,0.0030657956489045374,0.03596414126599553,0.03152680545837055,Phvul.009G060200.1/Phvul.009G081800.2/Phvul.009G231700.1/Phvul.011G014000.1,4
cluster_1,GO:0071577,zinc ion transmembrane transport,4/1234,13/24738,0.3076923076923077,6.168308190998629,4.270828520974297,0.0030657956489045374,0.03596414126599553,0.03152680545837055,Phvul.002G099700.1/Phvul.002G100001.1/Phvul.005G048900.1/Phvul.006G070200.1,4
cluster_1,GO:0050660,flavin adenine dinucleotide binding,16/1234,149/24738,0.10738255033557047,2.152698160616971,3.2336909115302497,0.0031990059340484835,0.036136918884621755,0.031678265389797844,Phvul.002G056700.1/Phvul.002G199300.1/Phvul.002G199700.1/Phvul.002G200600.1/Phvul.002G254200.1/Phvul.003G128133.1/Phvul.004G163400.1/Phvul.005G004600.1/Phvul.006G125800.1/Phvul.008G209900.1/Phvul.009G060200.1/Phvul.009G081800.2/Phvul.009G105400.1/Phvul.009G231700.1/Phvul.010G118400.2/Phvul.011G014000.1,16
cluster_1,GO:0048038,quinone binding,5/1234,22/24738,0.22727272727272727,4.556136731987623,3.8234983170067993,0.003961778487366056,0.04315508709452311,0.03783051638311949,Phvul.003G194600.1/Phvul.005G023500.1/Phvul.005G023600.2/Phvul.007G056200.1/Phvul.007G056600.1,5
cluster_1,GO:0005215,transporter activity,25/1234,284/24738,0.0880281690140845,1.7647008468966148,2.9698601051126974,0.004419082536198537,0.046476557708294966,0.040742176558781436,Phvul.001G028700.1/Phvul.001G118900.1/Phvul.001G221300.1/Phvul.002G005700.1/Phvul.002G061900.1/Phvul.002G067214.1/Phvul.002G242200.1/Phvul.002G242900.1/Phvul.002G311900.1/Phvul.005G138000.1/Phvul.005G170300.1/Phvul.006G056200.1/Phvul.006G171000.1/Phvul.007G046400.1/Phvul.007G084000.1/Phvul.008G107200.3/Phvul.008G212300.1/Phvul.009G127900.1/Phvul.010G003800.1/Phvul.010G004200.2/Phvul.010G147100.1/Phvul.011G207100.1/Phvul.L001635.1/Phvul.L002543.1/Phvul.L002643.1,25
cluster_2,GO:0004497,monooxygenase activity,13/364,254/24738,0.051181102362204724,3.4783464566929134,4.851750884208759,1.0935123127193136e-4,0.005660275151498014,0.004808359316138664,Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G206400.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.006G043100.1/Phvul.006G209500.1/Phvul.008G155000.1/Phvul.009G061450.1,13
cluster_2,GO:0005506,iron ion binding,18/364,443/24738,0.040632054176072234,2.7614169126584476,4.5715805506140725,1.1311390528481967e-4,0.005660275151498014,0.004808359316138664,Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G011800.1/Phvul.003G206400.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.005G058800.1/Phvul.006G209500.1/Phvul.007G043100.1/Phvul.007G074200.2/Phvul.008G155000.1/Phvul.009G053900.2/Phvul.009G061450.1/Phvul.011G131100.1,18
cluster_2,GO:0015079,potassium ion transmembrane transporter activity,5/364,33/24738,0.15151515151515152,10.297202797202798,6.530969385759018,1.1347678448137614e-4,0.005660275151498014,0.004808359316138664,Phvul.002G294304.1/Phvul.008G152200.1/Phvul.009G212700.1/Phvul.009G212800.1/Phvul.009G212900.1,5
cluster_2,GO:0016998,cell wall macromolecule catabolic process,4/364,20/24738,0.2,13.592307692307694,6.884532650377286,1.8538061703882386e-4,0.005660275151498014,0.004808359316138664,Phvul.001G218600.1/Phvul.003G268600.2/Phvul.004G049200.1/Phvul.009G254400.1,4
cluster_2,GO:0051537,"2 iron, 2 sulfur cluster binding",5/364,37/24738,0.13513513513513514,9.183991683991685,6.087928967663551,1.98606145666597e-4,0.005660275151498014,0.004808359316138664,Phvul.008G161000.1/Phvul.008G167850.1/Phvul.009G086000.1/Phvul.011G131100.1/Phvul.L001769.1,5
cluster_2,GO:0071805,potassium ion transmembrane transport,5/364,37/24738,0.13513513513513514,9.183991683991685,6.087928967663551,1.98606145666597e-4,0.005660275151498014,0.004808359316138664,Phvul.002G294304.1/Phvul.008G152200.1/Phvul.009G212700.1/Phvul.009G212800.1/Phvul.009G212900.1,5
cluster_2,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",15/364,368/24738,0.04076086956521739,2.7701714046822743,4.1809239565249126,4.0140831778660206e-4,0.009805831763072707,0.008329977120985125,Phvul.003G052400.1/Phvul.003G126100.1/Phvul.003G147700.1/Phvul.003G183000.1/Phvul.003G217900.1/Phvul.005G082800.2/Phvul.005G151700.1/Phvul.005G151800.1/Phvul.005G158500.1/Phvul.006G092100.1/Phvul.007G077800.1/Phvul.008G029000.1/Phvul.009G232500.1/Phvul.009G256400.1/Phvul.011G055800.1,15
cluster_2,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",13/364,333/24738,0.03903903903903904,2.6531531531531534,3.711561007548317,0.0014178690649967762,0.03030695126430609,0.025745517232836197,Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G206400.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.006G209500.1/Phvul.007G043100.1/Phvul.008G155000.1/Phvul.009G061450.1,13
cluster_2,GO:0020037,heme binding,16/364,472/24738,0.03389830508474576,2.3037809647979137,3.4949208261513323,0.0018338273533462302,0.03484271971357837,0.02959861693120231,Phvul.001G143300.1/Phvul.002G014700.1/Phvul.002G111900.1/Phvul.002G187700.1/Phvul.002G226700.1/Phvul.002G302100.1/Phvul.003G206400.1/Phvul.004G018900.1/Phvul.004G021400.1/Phvul.004G124700.1/Phvul.004G136300.1/Phvul.006G209500.1/Phvul.007G107400.1/Phvul.008G155000.1/Phvul.009G061450.1/Phvul.011G030200.1,16
cluster_2,GO:0016758,hexosyltransferase activity,10/364,233/24738,0.04291845493562232,2.916804225817102,3.5924370619740573,0.0024947481332370396,0.036622342210892306,0.031110392275180906,Phvul.004G103900.1/Phvul.006G205500.1/Phvul.006G208500.1/Phvul.007G251200.1/Phvul.008G140700.1/Phvul.008G140800.1/Phvul.008G158106.1/Phvul.008G175300.1/Phvul.010G001300.1/Phvul.010G009000.2,10
cluster_2,GO:0004568,chitinase activity,3/364,19/24738,0.15789473684210525,10.73076923076923,5.185245555146793,0.002569988927080162,0.036622342210892306,0.031110392275180906,Phvul.001G218600.1/Phvul.003G268600.2/Phvul.009G254400.1,3
cluster_2,GO:0006032,chitin catabolic process,3/364,19/24738,0.15789473684210525,10.73076923076923,5.185245555146793,0.002569988927080162,0.036622342210892306,0.031110392275180906,Phvul.001G218600.1/Phvul.003G268600.2/Phvul.009G254400.1,3
cluster_2,GO:0030247,polysaccharide binding,6/364,95/24738,0.06315789473684211,4.292307692307692,3.928947573637863,0.0028214043887733378,0.037112319267710824,0.031526623939329604,Phvul.001G075800.2/Phvul.001G236600.1/Phvul.003G183000.1/Phvul.004G154700.1/Phvul.006G112600.1/Phvul.008G029000.1,6
cluster_3,GO:0009607,response to biotic stimulus,5/253,46/24738,0.10869565217391304,10.628114796356762,6.6439409271223235,1.0468189367286304e-4,0.009958178822703266,0.009383343372835846,Phvul.002G209400.1/Phvul.002G209500.1/Phvul.003G109200.1/Phvul.003G109301.1/Phvul.003G109603.1,5
cluster_3,GO:0000786,nucleosome,6/253,79/24738,0.0759493670886076,7.4262270475809276,5.815212668991847,1.6061578746295592e-4,0.009958178822703266,0.009383343372835846,Phvul.001G009100.1/Phvul.002G110800.1/Phvul.002G269200.1/Phvul.006G090400.1/Phvul.011G163600.1/Phvul.011G164601.1,6
cluster_3,GO:0043565,sequence-specific DNA binding,12/253,397/24738,0.030226700251889168,2.9555261297677244,3.9927616866957005,8.552136170534117e-4,0.03534882950487435,0.03330831982208025,Phvul.001G088200.2/Phvul.001G154700.1/Phvul.002G155300.2/Phvul.002G285800.1/Phvul.003G070300.1/Phvul.003G138200.1/Phvul.004G048200.1/Phvul.005G040000.1/Phvul.007G067800.1/Phvul.007G174800.2/Phvul.008G045100.1/Phvul.009G078300.2,12
cluster_3,GO:0016887,ATP hydrolysis activity,9/253,253/24738,0.03557312252964427,3.478292115171304,4.027600837631812,0.0012420446219036003,0.03850338327901161,0.036280777113499904,Phvul.001G165700.1/Phvul.003G122400.1/Phvul.004G023066.1/Phvul.004G044100.2/Phvul.004G044132.1/Phvul.006G013900.1/Phvul.008G276150.1/Phvul.008G276201.1/Phvul.009G192401.1,9
cluster_3,GO:0046982,protein heterodimerization activity,6/253,123/24738,0.04878048780487805,4.76969054275523,4.260318388469117,0.0016918031747711966,0.04195671873432568,0.03953476892623217,Phvul.001G009100.1/Phvul.002G269200.1/Phvul.006G090400.1/Phvul.007G273000.1/Phvul.011G163600.1/Phvul.011G164601.1,6
cluster_4,GO:0043531,ADP binding,34/194,420/24738,0.08095238095238096,10.322680412371135,17.131808968775164,1.3954115329505562e-24,1.3814574176210507e-22,1.2925917357857783e-22,Phvul.001G133601.1/Phvul.002G323000.2/Phvul.002G323200.1/Phvul.002G323400.2/Phvul.002G323712.1/Phvul.004G005600.1/Phvul.004G007900.2/Phvul.004G008101.1/Phvul.004G008351.1/Phvul.004G008740.1/Phvul.004G008900.1/Phvul.004G008918.1/Phvul.004G008981.1/Phvul.004G009136.1/Phvul.004G009281.1/Phvul.004G009300.2/Phvul.004G009521.1/Phvul.004G009527.1/Phvul.004G009821.1/Phvul.004G009936.1/Phvul.004G013000.1/Phvul.004G015600.1/Phvul.004G015732.1/Phvul.004G015800.1/Phvul.004G016532.1/Phvul.007G160901.1/Phvul.010G024301.1/Phvul.010G026100.1/Phvul.010G027300.1/Phvul.010G028800.1/Phvul.010G029000.3/Phvul.010G029100.1/Phvul.010G029600.1/Phvul.011G195200.1,34
cluster_4,GO:0007165,signal transduction,12/194,396/24738,0.030303030303030304,3.8641049671977505,5.108108374580127,7.371143354800067e-5,0.0025378521291876664,0.002374598483450448,Phvul.002G323000.2/Phvul.002G323200.1/Phvul.002G323712.1/Phvul.003G161100.1/Phvul.007G160901.1/Phvul.010G024301.1/Phvul.010G026100.1/Phvul.010G027300.1/Phvul.010G028700.1/Phvul.010G028800.1/Phvul.010G029000.3/Phvul.010G029100.1,12
cluster_4,GO:0046873,metal ion transmembrane transporter activity,4/194,30/24738,0.13333333333333333,17.002061855670103,7.796855477703898,8.5657013886699e-5,0.0025378521291876664,0.002374598483450448,Phvul.006G001000.2/Phvul.008G259200.1/Phvul.009G077700.1/Phvul.L007543.1,4
cluster_4,GO:0005385,zinc ion transmembrane transporter activity,3/194,13/24738,0.23076923076923078,29.426645519429027,9.114458005114058,1.2817434995897304e-4,0.0025378521291876664,0.002374598483450448,Phvul.006G001000.2/Phvul.008G259200.1/Phvul.009G077700.1,3
cluster_4,GO:0071577,zinc ion transmembrane transport,3/194,13/24738,0.23076923076923078,29.426645519429027,9.114458005114058,1.2817434995897304e-4,0.0025378521291876664,0.002374598483450448,Phvul.006G001000.2/Phvul.008G259200.1/Phvul.009G077700.1,3
cluster_5,GO:0030976,thiamine pyrophosphate binding,3/167,11/24738,0.2727272727272727,40.399564507348934,10.775126656766508,4.7912588111186715e-5,0.005078734339785792,0.0043373500816442714,Phvul.006G177600.1/Phvul.008G095400.1/Phvul.010G078000.1,3
cluster_5,GO:0016831,carboxy-lyase activity,3/167,19/24738,0.15789473684210525,23.389221556886227,8.048606218554738,2.704144760949598e-4,0.01433196723303287,0.01223981312850871,Phvul.006G177600.1/Phvul.008G095400.1/Phvul.010G078000.1,3
cluster_5,GO:0022857,transmembrane transporter activity,6/167,147/24738,0.04081632653061224,6.046193327630453,5.058884820698706,4.990092935552127e-4,0.017631661705617516,0.015057824296753789,Phvul.003G151700.1/Phvul.003G252500.1/Phvul.006G210200.1/Phvul.006G210300.1/Phvul.009G189000.1/Phvul.011G016300.1,6
cluster_5,GO:0016791,phosphatase activity,4/167,64/24738,0.0625,9.258233532934131,5.453529930116019,9.286962195338436e-4,0.024610449817646856,0.02101786181050278,Phvul.010G140800.1/Phvul.010G140900.1/Phvul.010G141050.1/Phvul.010G141200.2,4
cluster_5,GO:0006662,glycerol ether metabolic process,3/167,42/24738,0.07142857142857142,10.580838323353293,5.123127715360712,0.002859342904469583,0.04330668779937406,0.036984857504927214,Phvul.001G109200.1/Phvul.001G112200.1/Phvul.009G186300.1,3
cluster_5,GO:0005985,sucrose metabolic process,2/167,12/24738,0.16666666666666666,24.688622754491018,6.766651916299339,0.002859875609392627,0.04330668779937406,0.036984857504927214,Phvul.001G209600.1/Phvul.009G223800.1,2
cluster_5,GO:0016157,sucrose synthase activity,2/167,12/24738,0.16666666666666666,24.688622754491018,6.766651916299339,0.002859875609392627,0.04330668779937406,0.036984857504927214,Phvul.001G209600.1/Phvul.009G223800.1,2
